,START,,,,,
,started Nov 2022,,,,,
SYMBOL,PRICE,,Nov-22,Dec-22,Jan-23,Feb-23
,,,,,,
AAPL,150.56,,-2.53,-20.63,151.73,
HOOD,11.92,,-2.33,-3.78,10.6,
AMZN,96.79,,-0.25,-12.79,102.18,
SQ,59,,8.77,3.84,82.55,
NIO,9.71,,3.07,0.58,10.93,
TSLA,227.82,,-33.12,-104.64,194.76,
COIN,63.29,,-17.56,-27.9,74.59,
AAL,14.11,,0.32,-1.39,16.92,
SFR,6.48,,,-5.33,1.65,
UPH,2.368,,,-0.738,2.97,
,,,,,,
,,,,,,
BIT-USD,"20,511.76",,"-3,448.02","-3,935.67","22,986.22",
DOGE-USD,0.143,,-0.0377,-0.075,0.0916,
,,,,,,
,,,,,,
,,,,,,
